"Timestamp","¿Usas alguna de estas plataformas?","¿Con qué frecuencia hablas con personas que no conoces en la vida real?","¿Alguna vez alguien desconocido por estos medios te ha ofrecido dinero, trabajo, regalos u “oportunidades”?","¿Has recibido mensajes como “no le digas a nadie”, “gana dinero fácil”, “solo entre nosotros” o persuasiones por el estilo?","Al tener contacto con un tercero desconocido, ¿te han ofrecido cambiar de plataforma para comunicarse (ej. WhatsApp o Telegram)?","De la misma forma, al contactar con un desconocido, ¿Te han presionado para responder rápido o tomar decisiones?","¿Sabrías identificar si alguien intenta manipularte en línea?","¿Te sentirías cómodo pidiendo ayuda si en una interacción con un desconocido algo malo ocurre?","Si existiera una herramienta que detectara mensajes peligrosos o codificados en línea y te avisara… ¿la utilizarías?","Según la pregunta anterior, ¿qué preferirías?","Sobre esta misma herramienta y evaluando tu bienestar ante una situación de riesgo, ¿qué te daría más confianza?"
"2026/04/24 8:17:41 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Rara vez","No","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:17:43 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Rara vez","No","No","No","No","No estoy seguro","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Rapidez en responder"
"2026/04/24 8:18:09 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:18:15 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Chats en línea (videojuegos).","Frecuentemente","No","No","No","No","Si","No","No","Solo yo vea el resultado de la herramienta","Anonimato del resultado"
"2026/04/24 8:18:29 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","Si","No","No","No estoy seguro","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:18:30 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Rara vez","Si","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:18:36 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:18:44 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:18:56 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","Si","Si","Si","No","No estoy seguro","No","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:19:27 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:19:37 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:20:00 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Depende","Si","Ambas opciones","Anonimato del resultado"
"2026/04/24 8:20:02 AM CST","WhatsApp;Instagram","Rara vez","No","No","No","No","Si","Depende","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:20:03 AM CST","WhatsApp;Instagram","Nunca","No","No","No","No","Si","Depende","Tal vez","Ambas opciones","Privacidad sobre tus datos"
