id,fase,señal_base,variantes,intención,fuente,tipo,peso,url_fuente,fecha_hallazgo,confiabilidad
f1_101,Fase1,🥷 ninja,"🥷 encapuchado, ninja emoji, sicario emoji",identidad_criminal,Colmex/Infobae,simbólica,0.7,https://www.infobae.com/mexico/2025/04/20/estos-son-los-emojis-que-ocupa-el-crimen-organizado-para-reclutar-jovenes-en-mexico/,2026-04-25T00:47:39.183492,alta
f1_102,Fase1,🪖 casco militar,"🪖 armed, helmet emoji",propaganda,Colmex/Infobae,simbólica,0.65,https://www.infobae.com/mexico/2025/04/20/estos-son-los-emojis-que-ocupa-el-crimen-organizado-para-reclutar-jovenes-en-mexico/,2026-04-25T00:47:39.183492,alta
f1_103,Fase1,😈 diablo,"👹 namahague, demonio emoji, makabélico",identidad_criminal,Colmex/Infobae,simbólica,0.6,https://www.infobae.com/mexico/2025/04/20/estos-son-los-emojis-que-ocupa-el-crimen-organizado-para-reclutar-jovenes-en-mexico/,2026-04-25T00:47:39.183492,alta
f1_104,Fase1,🧿 ojo turco,"🧿 maña, ojo de la maña",identidad_criminal,Colmex/Infobae,simbólica,0.6,https://www.infobae.com/mexico/2025/04/20/estos-son-los-emojis-que-ocupa-el-crimen-organizado-para-reclutar-jovenes-en-mexico/,2026-04-25T00:47:39.183492,alta
f1_105,Fase1,🆖 NG emoji,"4🆖, cuatro letras NG, CJNG emoji",identidad_cartel,Colmex/Milenio,simbólica,0.75,https://www.milenio.com/policia/narcotrafico/emojis-hashtags-simbologia-del-narco-redes-sociales-y-su-significado,2026-04-25T00:47:39.183492,alta
f1_106,Fase1,🎩 sombrero emoji,"🤠 sombrero Mayo, hat emoji",identidad_cartel,Colmex/Milenio,simbólica,0.65,https://www.milenio.com/policia/narcotrafico/emojis-hashtags-simbologia-del-narco-redes-sociales-y-su-significado,2026-04-25T00:47:39.183492,alta
f1_107,Fase1,🍓🐟 fresa y pez,"🍓 El Fresa, 🐟 El Pez, Familia Michoacana",identidad_cartel,Colmex/Milenio,simbólica,0.7,https://www.milenio.com/policia/narcotrafico/emojis-hashtags-simbologia-del-narco-redes-sociales-y-su-significado,2026-04-25T00:47:39.183492,alta
f1_108,Fase1,#4letras,"#4l, #cuatroletras",identidad_cartel,Colmex,hashtag,0.8,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_109,Fase1,#gentedelmz,"#operativamz, #mayozambada",identidad_cartel,Colmex,hashtag,0.75,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_110,Fase1,#trabajoparalamaña,"#maña, trabajo para la maña",reclutamiento,Colmex,hashtag,0.85,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_111,Fase1,#belicones,"#frasesbelicas, #makabelico",narcocultura,Colmex,hashtag,0.6,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_112,Fase1,#nuevageneracion,"#ng, #señormencho, #ElSeñorDeLosGallos",identidad_cartel,Colmex/Milenio,hashtag,0.75,https://www.milenio.com/policia/narcotrafico/emojis-hashtags-simbologia-del-narco-redes-sociales-y-su-significado,2026-04-25T00:47:39.183492,alta
f1_113,Fase1,a mí me interesa,"yo quiero jale, me interesa el trabajo, yo le entro",auto_reclutamiento,Milenio/Colmex,sociocultural,0.75,https://www.milenio.com/policia/reclutamiento-de-menores-en-mexico-asi-operan-los-carteles-en-redes,2026-04-25T00:47:39.183492,alta
f1_114,Fase1,la empresa cuida a los suyos,"aquí cuidamos a la familia, la compañía protege",lealtad,Infobae/Colmex,sociocultural,0.7,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
